date,regime,mode,total_cost_USD,energy_adjusted_cost_USD,operating_cost_USD,DR_cost_USD,wear_cost_USD,battery_wear,converter_wear,Tj_peak_C,Tj_RMSE_C,FEC,thermal_exceedance_hours,DR_shortfall_kWh,terminal_SOC,terminal_correction_USD,solver_p95_seconds,max_rainflow_gap_USD,seeds,numerical_pass_seeds,terminal_service_seeds
2017-01-01,heatwave_dr,economic,254.3846056286653,254.3846056286653,247.7636433960956,0.0,6.620962232569685,0.00013235435481994285,1.0814971908473565e-07,59.43677499909283,0.6228871872879984,1.2333624256210467,0.0,0.0,0.5,0.0,0.006841824993898626,0.0,2,2,2
2017-01-01,heatwave_dr,full,254.02560276225148,254.02560276225148,247.6588697572492,0.0017346903972139671,6.364998314605051,0.00012723289623068937,1.1178343568611996e-07,58.71047554310488,0.5174322803270001,1.2000000000000002,0.0,0.0008673451986069836,0.5,0.0,0.021839812496182276,6.859145874393846e-06,2,2,2
2017-01-01,heatwave_dr,full_mean,254.02560276225148,254.02560276225148,247.6588697572492,0.0017346903972139671,6.364998314605051,0.00012723289623068937,1.1178343568611996e-07,58.71047554310488,0.07085254207458581,1.2000000000000002,0.0,0.0008673451986069836,0.5,0.0,0.02258863750830642,6.859145874393846e-06,2,2,2
2017-01-01,heatwave_dr,infrared,254.0306616056711,254.0306616056711,247.65967128435693,0.006053508465146962,6.364936812849005,0.00012723289623068937,1.0973337715123311e-07,58.598763016753196,0.5796853822804698,1.2,0.0,0.003026754232573481,0.5,0.0,0.022037499995349208,7.442217309971966e-06,2,2,2
2017-01-01,heatwave_dr,oracle,254.02708849095387,254.02708849095387,247.66079128112688,0.0012986967350379075,6.3649985130919555,0.00012723289623068937,1.1179005191624679e-07,58.71170067245757,0.0,1.2000000000000002,0.0,0.0006493483675189538,0.5,0.0,0.021379649992013583,6.718721184739707e-06,2,2,2
2017-01-01,heatwave_dr,rainflow,254.01644203077842,254.01644203077842,247.65168078625663,0.0,6.364761244521777,0.00012723296139602628,1.0377249068208331e-07,59.43310885760991,0.5990000081211091,1.200000436794151,0.0,0.0,0.5,0.0,0.01571607499863603,5.6791766147590295e-05,2,2,2
2017-01-01,heatwave_dr,scalar,254.0306616056711,254.0306616056711,247.65967128435693,0.006053508465146962,6.364936812849005,0.00012723289623068937,1.0973337715123311e-07,58.598763016753196,0.5950320227046038,1.2,0.0,0.003026754232573481,0.5,0.0,0.021617875005176757,7.442217309971966e-06,2,2,2
2017-01-01,heatwave_dr,waveform,254.02560276225148,254.02560276225148,247.6588697572492,0.0017346903972139671,6.364998314605051,0.00012723289623068937,1.1178343568611996e-07,58.71047554310488,0.19563609261219966,1.2000000000000002,0.0,0.0008673451986069836,0.5,0.0,0.02194168750065728,6.859145874393846e-06,2,2,2
2017-01-01,ordinary,economic,254.3862785645755,254.3862785645755,247.76592854809516,0.0,6.620350016480316,0.00013235435481994285,8.774251610578871e-08,49.45650817143052,0.6142089483780548,1.2333624256210465,0.0,0.0,0.5,0.0,0.006945800010726089,0.0,2,2,2
2017-01-01,ordinary,full,254.01732124888625,254.01732124888625,247.65307148931743,0.0,6.364249759568818,0.00012723289623068937,8.683160114498915e-08,48.69910619074191,0.5171568937934822,1.2000000000000002,0.0,0.0,0.5,0.0,0.02239298749191221,8.881784197001252e-16,2,2,2
2017-01-01,ordinary,full_mean,254.01732124888625,254.01732124888625,247.65307148931743,0.0,6.364249759568818,0.00012723289623068937,8.683160114498915e-08,48.69910619074191,0.0708554129465466,1.2000000000000002,0.0,0.0,0.5,0.0,0.024220912495366065,8.881784197001252e-16,2,2,2
2017-01-01,ordinary,infrared,254.01931136428252,254.01931136428252,247.65510856912906,0.0,6.364202795153448,0.00012723289623068937,8.526612063265974e-08,48.589641608728186,0.5819030207938521,1.2,0.0,0.0,0.5,0.0,0.020057650006492622,8.881784197001252e-16,2,2,2
2017-01-01,ordinary,oracle,254.01701438199856,254.01701438199856,247.65276365212844,0.0,6.36425072987011,0.00012723289623068937,8.686394452140034e-08,48.701604028122425,0.0,1.2,0.0,0.0,0.5,0.0,0.024737962496146793,8.881784197001252e-16,2,2,2
2017-01-01,ordinary,rainflow,254.0211405166876,254.0211405166876,247.6570243505234,0.0,6.364116166164217,0.00012723296139602628,8.226987876342098e-08,49.45837464298287,0.5826868439678243,1.200000436794151,0.0,0.0,0.5,0.0,0.016313674997945782,8.366763573430802e-05,2,2,2
2017-01-01,ordinary,scalar,254.01931136428252,254.01931136428252,247.65510856912906,0.0,6.364202795153448,0.00012723289623068937,8.526612063265974e-08,48.589641608728186,0.5989330642872012,1.2,0.0,0.0,0.5,0.0,0.02105823749297997,8.881784197001252e-16,2,2,2
2017-01-01,ordinary,waveform,254.01732124888625,254.01732124888625,247.65307148931743,0.0,6.364249759568818,0.00012723289623068937,8.683160114498915e-08,48.69910619074191,0.19579843499882163,1.2000000000000002,0.0,0.0,0.5,0.0,0.021791799998027273,8.881784197001252e-16,2,2,2
2017-02-01,heatwave_dr,economic,246.4132036540536,246.4132036540536,240.2021934074295,0.0,6.211010246624124,0.00012419627687634268,3.988009356632532e-08,56.09738837557006,0.5192684804966378,1.184340617263648,0.0,0.0,0.5,0.0,0.01016597500347416,0.0,2,2,2
2017-02-01,heatwave_dr,full,246.55379699817274,246.55379699817274,240.4165574022255,0.0,6.137239595947235,0.00012258028861229255,2.741721777535468e-07,66.24174357123184,0.5184281324073471,1.1758817860954447,0.0,0.0,0.5,0.0,0.02900364999732119,1.1337467830774273e-05,2,2,2
2017-02-01,heatwave_dr,full_mean,246.55379699817274,246.55379699817274,240.4165574022255,0.0,6.137239595947235,0.00012258028861229255,2.741721777535468e-07,66.24174357123184,0.06630026203318945,1.1758817860954447,0.0,0.0,0.5,0.0,0.02663161250166013,1.1337467773486765e-05,2,2,2
2017-02-01,heatwave_dr,infrared,246.5459922668105,246.5459922668105,240.41704660824746,0.0,6.12894565856302,0.00012241583459306448,2.717976303265238e-07,66.18800179670194,0.5857509107336785,1.175015894155265,0.0,0.0,0.5,0.0,0.02865487500821473,2.239138785498085e-07,2,2,2
