date,regime,comparator,n_seeds_per_mode,full_cost_USD,comparator_cost_USD,both_numerical_pass,total_cost_USD_delta_full_minus_comparator,energy_adjusted_cost_USD_delta_full_minus_comparator,operating_cost_USD_delta_full_minus_comparator,DR_cost_USD_delta_full_minus_comparator,wear_cost_USD_delta_full_minus_comparator,battery_wear_delta_full_minus_comparator,converter_wear_delta_full_minus_comparator,Tj_peak_C_delta_full_minus_comparator,Tj_RMSE_C_delta_full_minus_comparator,FEC_delta_full_minus_comparator,thermal_exceedance_hours_delta_full_minus_comparator,DR_shortfall_kWh_delta_full_minus_comparator,terminal_SOC_delta_full_minus_comparator,terminal_correction_USD_delta_full_minus_comparator,solver_p95_seconds_delta_full_minus_comparator,max_rainflow_gap_USD_delta_full_minus_comparator,sensing_saving_USD_per_day
2017-01-01,heatwave_dr,scalar,2,254.02560276225148,254.0306616056711,True,-0.005058843419618597,-0.005058843419618597,-0.0008015271077397301,-0.004318818067932995,6.150175604613395e-05,0.0,2.0500585348868475e-09,0.11171252635168116,-0.0775997423776037,2.220446049250313e-16,0.0,-0.0021594090339664973,0.0,0.0,0.0002219374910055194,-5.830714355781197e-07,0.005058843419618597
2017-02-01,heatwave_dr,scalar,2,246.55379699817274,246.5459922668105,True,0.007804731362256234,0.007804731362256234,-0.0004892060219674477,0.0,0.0082939373842148,1.6445401922806366e-07,2.3745474270229958e-09,0.0537417745298967,-0.027799107700440584,0.0008658919401796084,0.0,0.0,0.0,0.0,0.002122512498317519,1.1113553952224464e-05,-0.007804731362256234
2017-03-01,heatwave_dr,scalar,2,161.096543526905,161.08506570203554,True,0.011477824869473352,0.011477824869473352,0.011051662405691332,0.0,0.00042616246379179046,3.009519154202481e-09,9.189550202791176e-09,0.008241679170680527,0.01597448624845721,1.6799354391139332e-05,0.0,0.0,0.0,0.0,0.011852312520204578,8.466923162586681e-08,-0.011477824869473352
2017-04-01,heatwave_dr,scalar,2,18.674567913581125,18.632463710529777,True,0.04210420305134832,0.04210420305134832,0.05103721844998432,0.0,-0.008933015398635114,-1.7353748359432726e-07,-8.538040630639144e-09,-0.07616370832711539,0.23374633459286182,0.00014542879204393344,0.0,0.0,0.0,0.0,-0.0003835875031654723,-3.382227390852366e-06,-0.04210420305134832
2017-05-01,heatwave_dr,scalar,2,66.97054321533565,66.95281807784204,True,0.017725137493613374,0.017725137493613374,0.011245191127642329,0.0,0.006479946365959499,1.1282238522677295e-07,2.7960903487340764e-08,0.1538538043052995,0.08419107305736862,0.000814619927389848,0.0,0.0,0.0,0.0,-0.023386550001305295,4.342702520088171e-07,-0.017725137493613374
2017-06-01,heatwave_dr,scalar,2,-7.570797829260128,-7.575925504210039,True,0.005127674949910954,0.005127674949910954,0.004528290301774263,0.0,0.0005993846481373577,1.198807925086544e-08,-6.438135296805117e-13,-7.182591324550458e-05,0.3184083116463512,0.00019959767293120656,0.0,0.0,0.0,0.0,-0.0012579375070345122,-1.5482252063991897e-06,-0.005127674949910954
2017-07-01,heatwave_dr,scalar,2,0.7145124782287042,0.7021219801001294,True,0.012390498128574845,0.012390498128574845,0.011114271718321134,0.0,0.0012762264102537113,2.5428401616807493e-08,1.602109804413679e-10,-0.00047954840181319014,0.2370867623171959,0.0006119340387318872,0.0,0.0,0.0,0.0,-0.02028179997432744,2.725374600039132e-05,-0.012390498128574845
2017-08-01,heatwave_dr,scalar,2,20.012095880062255,20.000474912362044,True,0.011620967700210372,0.011620967700210372,0.012201935288711496,0.0,-0.0005809675884989041,-1.2246717603499563e-08,1.0456097225268656e-09,0.028124385264902685,0.21908510061746111,-0.00020190560697119775,0.0,0.0,0.0,0.0,0.01427547498678905,-3.5367186090873304e-07,-0.011620967700210372
2017-09-01,heatwave_dr,scalar,2,28.76318616430656,28.760450657800256,True,0.00273550650630483,0.00273550650630483,0.0008187450745609226,0.0,0.0019167614317430193,4.2986122318667034e-08,-7.75148947301078e-09,0.020033417222308003,0.20480036115151906,0.00026946400551219885,0.0,0.0,0.0,0.0,0.017461100018408615,-1.9213814665963724e-05,-0.00273550650630483
2017-10-01,heatwave_dr,scalar,2,31.46266171840223,31.463792621435793,True,-0.001130903033562447,-0.001130903033562447,-0.0011093408378215486,0.0,-2.1562195745339352e-05,-4.62233193209002e-11,-6.417009926596264e-10,0.005398013648033384,0.02113703805914552,0.00010912748919889026,0.0,0.0,0.0,0.0,0.0013982250093249604,-3.509736245410622e-06,0.001130903033562447
2017-11-01,heatwave_dr,scalar,2,178.39790388206762,178.37152761952493,True,0.02637626254269776,0.02637626254269776,0.026306962987149518,0.0,6.929955555534661e-05,4.1077377434316047e-10,1.6253622279332103e-09,0.06280767231162088,-6.897914082504286e-05,2.7533190170014876e-06,0.0,0.0,0.0,0.0,-0.00038602500353590585,1.6314364964187256e-05,-0.02637626254269776
2017-12-01,heatwave_dr,scalar,2,265.76384808834564,265.7662127357478,True,-0.002364647402146147,-0.002364647402146147,-0.0031049963478153586,0.0,0.0007403489456985213,1.271642401245326e-08,3.4842581692271338e-09,0.47749149480746667,0.11929784000485044,9.126942262049909e-05,0.0,0.0,0.0,0.0,-0.0005297124953358434,0.0,0.002364647402146147
2017-01-01,heatwave_dr,waveform,2,254.02560276225148,254.02560276225148,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3217961877148004,0.0,0.0,0.0,0.0,0.0,-0.00010187500447500497,0.0,0.0
2017-02-01,heatwave_dr,waveform,2,246.55379699817274,246.55379699817274,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32267242639994287,0.0,0.0,0.0,0.0,0.0,-0.0007400875038001686,4.063416270128073e-13,0.0
2017-03-01,heatwave_dr,waveform,2,161.096543526905,161.096543526905,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32463271729324594,0.0,0.0,0.0,0.0,0.0,0.0005658000118273776,0.0,0.0
2017-04-01,heatwave_dr,waveform,2,18.674567913581125,18.668671034489705,True,0.005896879091420004,0.005896879091420004,0.007424502323530646,0.0,-0.0015276232321115302,-2.987949896346724e-08,-1.1216094646204542e-09,-0.010474976665449276,0.32683141309718844,0.0,0.0,0.0,0.0,0.0,-0.008411049991991604,9.581512557393923e-07,-0.005896879091420004
2017-05-01,heatwave_dr,waveform,2,66.97054321533565,66.97044837529845,True,9.484003720672263e-05,9.484003720672263e-05,-0.0001810754581583751,0.0,0.0002759154953508869,0.0,9.197183178358776e-09,0.04956165756591702,0.32348080516512806,0.0,0.0,0.0,0.0,0.0,-0.0216049249866046,0.0,-9.484003720672263e-05
2017-06-01,heatwave_dr,waveform,2,-7.570797829260128,-7.571049692025147,True,0.0002518627650189842,0.0002518627650189842,0.00027276667690934175,0.0,-2.090391188969143e-05,-4.180608132692645e-10,-2.9040871777551665e-14,4.240519047016278e-11,0.3278805413647199,1.1048448248229814e-05,0.0,0.0,0.0,0.0,0.010465087500051595,-1.3636850796222566e-06,-0.0002518627650189842
2017-07-01,heatwave_dr,waveform,2,0.7145124782287042,0.7145151020467625,True,-2.623818058267169e-06,-2.623818058267169e-06,-2.031545392355838e-06,0.0,-5.922726660223532e-07,-1.1823572970573546e-11,-3.646725066228912e-14,-2.3825694057677538e-06,0.326198457248419,-8.013004193507811e-07,0.0,0.0,0.0,0.0,-0.019758374990487937,5.677402159509626e-09,2.623818058267169e-06
2017-08-01,heatwave_dr,waveform,2,20.012095880062255,20.011570752570186,True,0.0005251274920681226,0.0005251274920681226,0.000546243621585063,0.0,-2.111612952093722e-05,0.0,-7.038709840382591e-10,0.0,0.3246555687089849,0.0,0.0,0.0,0.0,0.0,0.009249024995369837,0.0,-0.0005251274920681226
2017-09-01,heatwave_dr,waveform,2,28.76318616430656,28.763200767256173,True,-1.460294961219688e-05,-1.460294961219688e-05,-9.714285098993969e-06,0.0,-4.88866451409109e-06,0.0,-1.6295548379969773e-10,0.0,0.3262660056213477,0.0,0.0,0.0,0.0,0.0,0.018498850007745204,0.0,1.460294961219688e-05
2017-10-01,heatwave_dr,waveform,2,31.46266171840223,31.46264560279335,True,1.6115608879374577e-05,1.6115608879374577e-05,5.130444094447739e-06,0.0,1.098516478315048e-05,1.1740126476230198e-10,1.7050338482554954e-10,0.0027549619209139564,0.3241353276270327,0.0,0.0,0.0,0.0,0.0,0.0005150249962753151,-3.0647690829610497e-08,-1.6115608879374577e-05
2017-11-01,heatwave_dr,waveform,2,178.39790388206762,178.39790388206762,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32501960031582244,0.0,0.0,0.0,0.0,0.0,0.008758299991313834,0.0,0.0
2017-12-01,heatwave_dr,waveform,2,265.76384808834564,265.76384808834564,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3242597033822271,0.0,0.0,0.0,0.0,0.0,0.004060400009620935,0.0,0.0
2017-01-01,heatwave_dr,full_mean,2,254.02560276225148,254.02560276225148,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44657973825241426,0.0,0.0,0.0,0.0,0.0,-0.0007488250121241435,0.0,0.0
2017-02-01,heatwave_dr,full_mean,2,246.55379699817274,246.55379699817274,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45212787037415764,0.0,0.0,0.0,0.0,0.0,0.0023720374956610613,5.728750807065808e-14,0.0
2017-03-01,heatwave_dr,full_mean,2,161.096543526905,161.096543526905,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45219022320973506,0.0,0.0,0.0,0.0,0.0,0.0076965500084043015,0.0,0.0
2017-04-01,heatwave_dr,full_mean,2,18.674567913581125,18.680598884657186,True,-0.00603097107606132,-0.00603097107606132,-0.007593399591126371,0.0,0.0015624285150646067,3.056067366118305e-08,1.1464944001601434e-09,0.010712849293824434,0.4592806094518855,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-0.001270524982828647,-1.3891285624428873e-06,0.00603097107606132
2017-05-01,heatwave_dr,full_mean,2,66.97054321533565,66.97054971128712,True,-6.495951467400118e-06,-6.495951467400118e-06,3.777040774366469e-06,0.0,-1.0272992259530156e-05,0.0,-3.424330753227222e-10,-0.0018599141358492943,0.45286414778513034,0.0,0.0,0.0,0.0,0.0,-0.023372374995233258,0.0,6.495951467400118e-06
2017-06-01,heatwave_dr,full_mean,2,-7.570797829260128,-7.571033838044179,True,0.00023600878405094505,0.00023600878405094505,0.00025556679366189883,0.0,-1.9558009610509686e-05,-3.911431490623231e-10,-2.8405246028202585e-14,4.874323167314287e-11,0.464323762343675,1.104973045956692e-05,0.0,0.0,0.0,0.0,0.005211049996432848,1.0629557821717484e-06,-0.00023600878405094505
2017-07-01,heatwave_dr,full_mean,2,0.7145124782287042,0.7145267363532236,True,-1.4258124519384019e-05,-1.4258124519384019e-05,-1.1040469133805075e-05,0.0,-3.217655385689966e-06,-6.425024761560322e-11,-1.7143349831842079e-13,-1.1187134063561643e-05,0.4627602883081491,-4.360012486048781e-06,0.0,0.0,0.0,0.0,-0.018905499986431096,4.924746330181584e-07,1.4258124519384019e-05
2017-08-01,heatwave_dr,full_mean,2,20.012095880062255,20.011570752570186,True,0.0005251274920681226,0.0005251274920681226,0.000546243621585063,0.0,-2.111612952093722e-05,0.0,-7.038709840382591e-10,0.0,0.46019675837598223,0.0,0.0,0.0,0.0,0.0,-0.006667837493296247,0.0,-0.0005251274920681226
2017-09-01,heatwave_dr,full_mean,2,28.76318616430656,28.763186173099186,True,-8.792625294518075e-09,-8.792625294518075e-09,-8.787793603914906e-09,0.0,-4.830802424748981e-12,0.0,-1.6104065678906616e-16,0.0,0.4644640882212275,0.0,0.0,0.0,0.0,0.0,0.009673937514889985,0.0,8.792625294518075e-09
2017-10-01,heatwave_dr,full_mean,2,31.46266171840223,31.46268947074774,True,-2.775234550966843e-05,-2.775234550966843e-05,-2.7854045683284312e-05,0.0,1.017001736158818e-07,1.060800081944483e-12,1.622005648393773e-12,2.315159670729372e-05,0.45721167788253,4.585705148940633e-10,0.0,0.0,0.0,0.0,0.00016898749163374305,-2.601387993905746e-10,2.775234550966843e-05
2017-11-01,heatwave_dr,full_mean,2,178.39790388206762,178.39790388206762,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45328729425759917,0.0,0.0,0.0,0.0,0.0,-0.00017240001034224406,0.0,0.0
2017-12-01,heatwave_dr,full_mean,2,265.76384808834564,265.76384808834564,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45245187075748405,0.0,0.0,0.0,0.0,0.0,0.005625212495942833,0.0,0.0
2017-01-01,heatwave_dr,rainflow,2,254.02560276225148,254.01644203077842,True,0.009160731473059514,0.009160731473059514,0.007188970992558552,0.0017346903972139671,0.0002370700832745598,-6.516533691239453e-11,8.010945004036645e-09,-0.7226333145050319,-0.08156772779410904,-4.367941508487405e-07,0.0,0.0008673451986069836,0.0,0.0,0.006123737497546244,-4.993262027319645e-05,-0.009160731473059514
2017-02-01,heatwave_dr,rainflow,2,246.55379699817274,246.4143640030155,True,0.13943299515725016,0.13943299515725016,0.21320373782847923,0.0,-0.07377074267123618,-1.6159882640501342e-06,2.3428901770898812e-07,10.185351751753117,-0.001961245411485346,-0.008458831168203229,0.0,0.0,0.0,0.0,0.009600662498996826,1.1080671056706848e-05,-0.13943299515725016
