setting,date,comparator,n_seeds_per_mode,full_cost_USD,comparator_cost_USD,delta_full_minus_comparator_USD
radius_double,2017-01-01,waveform,2,252.57344760866616,252.57344760866616,0.0
radius_double,2017-04-01,waveform,2,20.120834891206997,20.11357900393132,0.007255887275675832
radius_double,2017-07-01,waveform,2,1.0448908590324022,1.0440767813412792,0.0008140776911229608
radius_double,2017-10-01,waveform,2,34.12188306536113,34.12188306536113,0.0
radius_double,2017-01-01,full_mean,2,252.57344760866616,252.57344760866616,0.0
radius_double,2017-04-01,full_mean,2,20.120834891206997,20.11982774182768,0.001007149379315564
radius_double,2017-07-01,full_mean,2,1.0448908590324022,1.0448909727028286,-1.1367042640486602e-07
radius_double,2017-10-01,full_mean,2,34.12188306536113,34.12188306536113,0.0
radius_zero,2017-01-01,scalar,2,254.3601876873988,254.36386082409456,-0.0036731366957667433
radius_zero,2017-04-01,scalar,2,17.28971048134717,17.28611423415376,0.003596247193410562
radius_zero,2017-07-01,scalar,2,-0.4304709162498359,-0.4370553369146568,0.0065844206648209
radius_zero,2017-10-01,scalar,2,30.49961177215215,30.486309553690567,0.013302218461582527
radius_zero,2017-01-01,waveform,2,254.3601876873988,254.3602149356518,-2.7248253019251933e-05
radius_zero,2017-04-01,waveform,2,17.28971048134717,17.28971048134717,0.0
radius_zero,2017-07-01,waveform,2,-0.4304709162498359,-0.4304709162498359,0.0
radius_zero,2017-10-01,waveform,2,30.49961177215215,30.506518688333074,-0.006906916180923872
radius_zero,2017-01-01,full_mean,2,254.3601876873988,254.36021308650876,-2.5399109972568112e-05
radius_zero,2017-04-01,full_mean,2,17.28971048134717,17.28971048134717,0.0
radius_zero,2017-07-01,full_mean,2,-0.4304709162498359,-0.4313685979389157,0.0008976816890797767
radius_zero,2017-10-01,full_mean,2,30.49961177215215,30.49959266690599,1.9105246160222578e-05
