setting,date,comparator,n_seeds_per_mode,full_cost_USD,comparator_cost_USD,delta_full_minus_comparator_USD
IR_bias_minus_2,2017-01-01,scalar,2,254.02560276225148,254.0306616056711,-0.005058843419618597
IR_bias_minus_2,2017-04-01,scalar,2,18.675246952022345,18.632463710529777,0.04278324149256818
IR_bias_minus_2,2017-07-01,scalar,2,0.7145011687424917,0.7021219801001294,0.012379188642362315
IR_bias_minus_2,2017-10-01,scalar,2,31.46274873733912,31.463792621435793,-0.0010438840966742191
IR_bias_minus_2,2017-01-01,waveform,2,254.02560276225148,254.02560276225148,0.0
IR_bias_minus_2,2017-04-01,waveform,2,18.675246952022345,18.668671034489705,0.006575917532639863
IR_bias_minus_2,2017-07-01,waveform,2,0.7145011687424917,0.7145151020467625,-1.3933304270796754e-05
IR_bias_minus_2,2017-10-01,waveform,2,31.46274873733912,31.46264560279335,0.0001031345457676025
IR_bias_minus_2,2017-01-01,full_mean,2,254.02560276225148,254.02560276225148,0.0
IR_bias_minus_2,2017-04-01,full_mean,2,18.675246952022345,18.66695567506123,0.008291276961113425
IR_bias_minus_2,2017-07-01,full_mean,2,0.7145011687424917,0.7145154299203703,-1.4261177878616138e-05
IR_bias_minus_2,2017-10-01,full_mean,2,31.46274873733912,31.46275108297439,-2.345635270017965e-06
battery_100,2017-01-01,scalar,2,261.48307699206634,261.49318510230825,-0.010108110241901613
battery_100,2017-04-01,scalar,2,22.499784775289392,22.511269378068178,-0.011484602778786268
battery_100,2017-07-01,scalar,2,-1.5076524711312982,-1.4967788834160463,-0.010873587715251931
battery_100,2017-10-01,scalar,2,33.96112666858608,33.96616456428081,-0.005037895694727013
battery_100,2017-01-01,waveform,2,261.48307699206634,261.48307699206634,0.0
battery_100,2017-04-01,waveform,2,22.499784775289392,22.5025163658471,-0.00273159055770833
battery_100,2017-07-01,waveform,2,-1.5076524711312982,-1.4615069765946056,-0.04614549453669259
battery_100,2017-10-01,waveform,2,33.96112666858608,33.96112666858608,0.0
battery_100,2017-01-01,full_mean,2,261.48307699206634,261.48307699206634,0.0
battery_100,2017-04-01,full_mean,2,22.499784775289392,22.499558511959876,0.0002262633295160299
battery_100,2017-07-01,full_mean,2,-1.5076524711312982,-1.4759969512304691,-0.03165551990082904
battery_100,2017-10-01,full_mean,2,33.96112666858608,33.96112666858608,0.0
battery_400,2017-01-01,scalar,2,245.2170227143264,245.2272179070705,-0.010195192744106407
battery_400,2017-04-01,scalar,2,17.948845089259926,17.87756330303774,0.07128178622218684
battery_400,2017-07-01,scalar,2,14.770321718263073,14.870897351100243,-0.1005756328371703
battery_400,2017-10-01,scalar,2,30.108114015325683,30.11518864647795,-0.007074631152267585
battery_400,2017-01-01,waveform,2,245.2170227143264,245.2170227143264,0.0
battery_400,2017-04-01,waveform,2,17.948845089259926,17.94886722812359,-2.213886366320139e-05
battery_400,2017-07-01,waveform,2,14.770321718263073,14.769682877459786,0.0006388408032869108
battery_400,2017-10-01,waveform,2,30.108114015325683,30.108101167405895,1.2847919787617457e-05
battery_400,2017-01-01,full_mean,2,245.2170227143264,245.2170227143264,0.0
battery_400,2017-04-01,full_mean,2,17.948845089259926,17.949223949328626,-0.0003788600687002486
battery_400,2017-07-01,full_mean,2,14.770321718263073,14.770324546391404,-2.828128330634172e-06
battery_400,2017-10-01,full_mean,2,30.108114015325683,30.108113907850424,1.0747525891474652e-07
cooling_120,2017-01-01,scalar,2,254.02847548694984,254.03348385253912,-0.005008365589276309
cooling_120,2017-04-01,scalar,2,18.688307512711695,18.662840115492564,0.02546739721913127
cooling_120,2017-07-01,scalar,2,0.715608812651611,0.7024650322586262,0.013143780392984805
cooling_120,2017-10-01,scalar,2,31.466884926560212,31.46804642585961,-0.001161499299399793
cooling_120,2017-01-01,waveform,2,254.02847548694984,254.02847548694984,0.0
cooling_120,2017-04-01,waveform,2,18.688307512711695,18.68412670910221,0.004180803609486361
cooling_120,2017-07-01,waveform,2,0.715608812651611,0.7156088599423471,-4.7290736104876885e-08
cooling_120,2017-10-01,waveform,2,31.466884926560212,31.466874440172326,1.0486387886032844e-05
cooling_120,2017-01-01,full_mean,2,254.02847548694984,254.02847548694984,0.0
cooling_120,2017-04-01,full_mean,2,18.688307512711695,18.688432073490706,-0.000124560779010352
cooling_120,2017-07-01,full_mean,2,0.715608812651611,0.7156087996252575,1.302635355138193e-08
cooling_120,2017-10-01,full_mean,2,31.466884926560212,31.466883318103587,1.6084566247798193e-06
margin_six,2017-01-01,scalar,2,254.02560276225148,254.0306616056711,-0.005058843419618597
margin_six,2017-04-01,scalar,2,18.674567913581125,18.63244025009164,0.04212766348948449
margin_six,2017-07-01,scalar,2,0.7158401280072695,0.7026643198565818,0.01317580815068764
margin_six,2017-10-01,scalar,2,31.46266171840223,31.463792621435793,-0.001130903033562447
margin_six,2017-01-01,waveform,2,254.02560276225148,254.02560276225148,0.0
margin_six,2017-04-01,waveform,2,18.674567913581125,18.668671034489705,0.005896879091420004
margin_six,2017-07-01,waveform,2,0.7158401280072695,0.7158433527352421,-3.2247279726504985e-06
margin_six,2017-10-01,waveform,2,31.46266171840223,31.46264560279335,1.6115608879374577e-05
margin_six,2017-01-01,full_mean,2,254.02560276225148,254.02560276225148,0.0
margin_six,2017-04-01,full_mean,2,18.674567913581125,18.680598884657186,-0.00603097107606132
margin_six,2017-07-01,full_mean,2,0.7158401280072695,0.7158576774178922,-1.7549410622708095e-05
margin_six,2017-10-01,full_mean,2,31.46266171840223,31.46268947074774,-2.775234550966843e-05
margin_zero,2017-01-01,scalar,2,254.02560276225148,254.0306616056711,-0.005058843419618597
margin_zero,2017-04-01,scalar,2,18.674567913581125,18.632463710529777,0.04210420305134832
margin_zero,2017-07-01,scalar,2,0.7112047922316664,0.6984058478151555,0.012798944416510971
margin_zero,2017-10-01,scalar,2,31.46266171840223,31.463792621435793,-0.001130903033562447
margin_zero,2017-01-01,waveform,2,254.02560276225148,254.02560276225148,0.0
margin_zero,2017-04-01,waveform,2,18.674567913581125,18.668671034489705,0.005896879091420004
margin_zero,2017-07-01,waveform,2,0.7112047922316664,0.7112074692345943,-2.6770029278866403e-06
margin_zero,2017-10-01,waveform,2,31.46266171840223,31.46264560279335,1.6115608879374577e-05
margin_zero,2017-01-01,full_mean,2,254.02560276225148,254.02560276225148,0.0
margin_zero,2017-04-01,full_mean,2,18.674567913581125,18.680598884657186,-0.00603097107606132
margin_zero,2017-07-01,full_mean,2,0.7112047922316664,0.7112193423167813,-1.4550085114861666e-05
margin_zero,2017-10-01,full_mean,2,31.46266171840223,31.46268947074774,-2.775234550966843e-05
radius_double,2017-01-01,scalar,2,252.57344760866616,252.57751646612505,-0.004068857458889852
radius_double,2017-04-01,scalar,2,20.120834891206997,20.158912942430128,-0.038078051223131126
radius_double,2017-07-01,scalar,2,1.0448908590324022,1.0422193543428264,0.0026715046895757766
radius_double,2017-10-01,scalar,2,34.12188306536113,34.12829090561887,-0.006407840257736552
