setting,date,mode,total_cost_USD,Tj_RMSE_C,Tj_peak_C,DR_shortfall_kWh,battery_wear,converter_wear,thermal_exceedance_hours
IR_bias_minus_2,2017-01-01,full,254.02560276225148,1.6558701236127362,58.71047554310487,0.00086734519860695,0.0001272328962306,1.1178343568611996e-07,0.0
IR_bias_minus_2,2017-01-01,full_mean,254.02560276225148,1.1617153101443993,58.71047554310487,0.00086734519860695,0.0001272328962306,1.1178343568611996e-07,0.0
IR_bias_minus_2,2017-01-01,scalar,254.0306616056711,0.5950320227046038,58.5987630167532,0.0030267542325734,0.0001272328962306,1.0973337715123313e-07,0.0
IR_bias_minus_2,2017-01-01,waveform,254.02560276225148,0.1956360926121996,58.71047554310487,0.00086734519860695,0.0001272328962306,1.1178343568611996e-07,0.0
IR_bias_minus_2,2017-04-01,full,18.675246952022345,1.6546624152631633,79.03759885655455,0.0,5.328393003411328e-05,8.597882939661264e-07,0.0
IR_bias_minus_2,2017-04-01,full_mean,18.66695567506123,1.1580416921001535,79.05215522270422,0.0,5.332571122650362e-05,8.61337984150211e-07,0.0
IR_bias_minus_2,2017-04-01,scalar,18.632463710529777,0.28468164676036434,79.11474929628001,0.0,5.3460581284751005e-05,8.684216538707488e-07,0.0
IR_bias_minus_2,2017-04-01,waveform,18.668671034489705,0.19159656825603777,79.04906056461834,0.0,5.3316923300120145e-05,8.610052227047301e-07,0.0
IR_bias_minus_2,2017-07-01,full,0.7145011687424917,1.6545995497065917,69.6452778738826,0.0,2.9284478480457962e-05,8.458297612161527e-08,0.0
IR_bias_minus_2,2017-07-01,full_mean,0.7145154299203703,1.1581634062126693,69.64528899615195,0.0,2.9284542746774853e-05,8.458314650553204e-08,0.0
IR_bias_minus_2,2017-07-01,scalar,0.7021219801001294,0.2805824402706196,69.64576866559597,0.0,2.9259100957465016e-05,8.442293970889064e-08,0.0
IR_bias_minus_2,2017-07-01,waveform,0.7145151020467625,0.19147074533939656,69.64529149976356,0.0,2.9284541182654794e-05,8.458318715658268e-08,0.0
IR_bias_minus_2,2017-10-01,full,31.46274873733912,1.6550393705682431,71.56189425425208,0.0,5.856331467298907e-05,4.917793167594291e-07,0.0
IR_bias_minus_2,2017-10-01,full_mean,31.46275108297439,1.1589141614191956,71.56229498501307,0.0,5.856333174218266e-05,4.918041777160848e-07,0.0
IR_bias_minus_2,2017-10-01,scalar,31.463792621435793,0.49715146955912837,71.54162566842555,0.0,5.856272724283038e-05,4.914997846088766e-07,0.0
IR_bias_minus_2,2017-10-01,waveform,31.46264560279335,0.19415317999124126,71.54426872015267,0.0,5.85625636182463e-05,4.906875802313915e-07,0.0
battery_100,2017-01-01,full,261.48307699206634,0.5179846709936959,44.15563968182137,0.0011777910792467,0.0001272328962306,5.928332172121961e-09,0.0
battery_100,2017-01-01,full_mean,261.48307699206634,0.05588369751455095,44.15563968182137,0.0011777910792467,0.0001272328962306,5.928332172121961e-09,0.0
battery_100,2017-01-01,scalar,261.49318510230825,0.2545289988982856,44.15161000942606,0.0042650491134015,0.0001272328962306,5.934527923667363e-09,0.0
battery_100,2017-01-01,waveform,261.48307699206634,0.19129782514360594,44.15563968182137,0.0011777910792467,0.0001272328962306,5.928332172121961e-09,0.0
battery_100,2017-04-01,full,22.499784775289392,0.5183029514158131,77.37136007982599,0.0,0.0001279681936541,6.763293726917413e-07,0.0
battery_100,2017-04-01,full_mean,22.499558511959876,0.05871381467509365,77.37136065673997,0.0,0.00012797403892045002,6.763294334539242e-07,0.0
battery_100,2017-04-01,scalar,22.511269378068178,0.28622245560317944,77.38480036762382,0.0,0.00012772798281995,6.775342657895026e-07,0.0
battery_100,2017-04-01,waveform,22.5025163658471,0.1913386246416785,77.37135330703778,0.0,0.00012789821079174998,6.76328680673661e-07,0.0
battery_100,2017-07-01,full,-1.5076524711312982,0.5182824567528106,57.24362130151326,0.0,3.3691450606377406e-05,4.062987009229546e-09,0.0
battery_100,2017-07-01,full_mean,-1.4759969512304691,0.0535196417781242,57.24362130327117,0.0,3.33126267978554e-05,4.06305715578376e-09,0.0
