cooling,mode,episodes,trip_episodes,solver_fallback_intervals,episodes_with_solver_fallback,cut_limit_intervals,latched_trip_intervals,terminal_service_failed_episodes,terminal_SOC_error_abs_mean,terminal_SOC_error_abs_max,DR_shortfall_kWh_total,DR_shortfall_kWh_mean,operating_cost_USD_mean,wear_cost_USD_mean,wear_adjusted_cost_USD_mean,energy_adjusted_cost_USD_mean,Tj_peak_C_max,Tj_peak_C_mean,thermal_exceedance_hours_total
1.0,economic,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73.18587490613407,3.5864361149876247,76.7723110211217,76.7723110211217,88.11539190225012,74.89122496691135,0.0
1.0,full,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85132127558046,3.366415201198998,76.218104680481,76.218104680481,79.04711240877636,69.73950365287914,0.0
1.0,full_mean,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85510585134664,3.365639742270912,76.22111379731909,76.22111379731909,79.02578738224194,69.73429429171482,0.0
1.0,rainflow,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72.95413275400539,3.3929506634149273,76.34708341742032,76.34708341742032,77.00393694192387,69.55453586741329,0.0
1.0,scalar,4,0,0,0,0,0,0,0.0,0.0,0.003026754232573481,0.0007566885581433702,72.83749438576773,3.368129405907858,76.20713716879187,76.20713716879187,79.11565989081069,69.72545046005102,0.0
1.0,waveform,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85124973709397,3.3664291705903433,76.21804711138586,76.21804711138586,79.04753882522385,69.73883027778955,0.0
1.2,economic,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73.18587490613407,3.599232876483419,76.78510778261747,76.78510778261747,90.99957352462374,78.17826678817748,0.0
1.2,full,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85078376756177,3.3728142854461947,76.2239662567095,76.2239662567095,83.83519581130719,73.40161507977473,0.0
1.2,full_mean,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85085026207001,3.3728004273826446,76.2240188931542,76.2240188931542,83.83461706040299,73.40153075216332,0.0
1.2,rainflow,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72.95413275400539,3.397728599005397,76.35186135301078,76.35186135301078,81.10950988716083,72.96634124339889,0.0
1.2,scalar,4,0,0,0,0,0,0,0.0,0.0,0.003026754232573481,0.0007566885581433702,72.8431174117556,3.373230414990617,76.21786120386251,76.21786120386251,83.87829533032283,73.37827107298469,0.0
1.2,waveform,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85077433230151,3.3728137442308146,76.22395628023389,76.22395628023389,83.83526701062354,73.40110172614223,0.0
1.4,economic,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73.18587490613407,3.614208959413597,76.80008386554766,76.80008386554766,93.5703098493077,81.21232911960794,0.0
1.4,full,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.84927553704975,3.3816691796971154,76.23131292044843,76.23131292044843,88.11856140653158,76.81097218324568,0.0
1.4,full_mean,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.84932445000364,3.3816570759807045,76.23134972968589,76.23134972968589,88.11792316747764,76.81080734185267,0.0
1.4,rainflow,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72.95413275400539,3.4041926913072498,76.35832544531264,76.35832544531264,84.79205588468959,76.1400335103553,0.0
1.4,scalar,4,0,0,0,0,0,0,0.0,0.0,0.003026754232573481,0.0007566885581433702,72.83577727140816,3.3837183858998805,76.22100903442433,76.22100903442433,88.25907517128793,76.80809985680511,0.0
1.4,waveform,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.8498960914287,3.381653622007872,76.23191791713813,76.23191791713813,88.11781907076848,76.81055617438679,0.0
1.6,economic,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73.18587490613407,3.631994363658152,76.81786926979223,76.81786926979223,95.95052638354639,84.1583313087286,0.0
1.6,full,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85697640609408,3.3915825782180646,76.24892718801371,76.24892718801371,91.85161638047514,80.01677615212232,0.0
1.6,full_mean,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85689414040462,3.391596159715749,76.24885850382191,76.24885850382191,91.85258889173568,80.016910051664,0.0
1.6,rainflow,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72.95413275400539,3.4129757570474624,76.36710851105285,76.36710851105285,88.13314001178138,79.22749288935506,0.0
1.6,scalar,4,0,0,0,0,0,0,0.0,0.0,0.003026754232573481,0.0007566885581433702,72.84277907299736,3.3939276580111515,76.23822010812479,76.23822010812479,92.03474587457116,80.01964927815831,0.0
1.6,waveform,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85677266086097,3.3916373350229776,76.24877819958549,76.24877819958549,91.85504065056305,80.01770938052164,0.0
1.8,economic,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73.18587490613407,3.6522188927179817,76.83809379885204,76.83809379885204,98.2136809346502,86.98342282698749,0.0
1.8,full,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85814365717417,3.406046301971329,76.26455816284705,76.26455816284705,95.30798312009745,83.07499837309695,0.0
1.8,full_mean,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85855103778495,3.4059341568525885,76.26485339833908,76.26485339833908,95.30055582595766,83.07294032035628,0.0
1.8,rainflow,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72.95413275400539,3.4241288730535886,76.37826162705898,76.37826162705898,91.19721125678015,82.17898359747272,0.0
1.8,scalar,4,0,0,0,0,0,0,0.0,0.0,0.003026754232573481,0.0007566885581433702,72.84314079271223,3.408683704867926,76.25333787469646,76.25333787469646,95.52914592078471,83.08454821825616,0.0
1.8,waveform,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85795046569054,3.4061142533384547,76.26443292273055,76.26443292273055,95.31237178889714,83.07657304655251,0.0
2.0,economic,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73.18587490613407,3.6754301181590314,76.86130502429309,76.86130502429309,100.40548056802002,89.7118785949213,0.0
2.0,full,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85726778877569,3.424131905136667,76.28176789761389,76.28176789761389,98.49569939546005,85.96654892795112,0.0
2.0,full_mean,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85725736846324,3.424090371815186,76.28171594397999,76.28171594397999,98.49527537171105,85.95848620816415,0.0
2.0,rainflow,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72.95413275400539,3.4381236553746604,76.39225640938004,76.39225640938004,94.03503292406421,85.01073510286518,0.0
2.0,scalar,4,0,0,0,0,0,0,0.0,0.0,0.003026754232573481,0.0007566885581433702,72.85139659945419,3.4247592755153087,76.2776692520858,76.2776692520858,98.57122191855869,85.96991147521734,0.0
2.0,waveform,4,0,0,0,0,0,0,0.0,0.0,0.0007364074030942191,0.0001841018507735548,72.85817506760503,3.424077169640122,76.2826204409467,76.2826204409467,98.48061924899207,85.99638881456872,0.0
