date,regime,seed,comparator,main_delta_full_minus_comparator_USD,fine_delta_full_minus_comparator_USD,paired_effect_change_USD,absolute_paired_effect_change_USD
2017-01-01,ordinary,41,scalar,-0.002210048236605644,-0.002210048236605644,0.0,0.0
2017-01-01,ordinary,41,waveform,0.0,0.0,0.0,0.0
2017-01-01,ordinary,41,full_mean,0.0,0.0,0.0,0.0
2017-04-01,ordinary,41,scalar,0.03126643067120938,0.024758553233482417,-0.006507877437726961,0.006507877437726961
2017-04-01,ordinary,41,waveform,2.08243559640664e-06,2.0850074271550056e-06,2.5718307483657554e-09,2.5718307483657554e-09
2017-04-01,ordinary,41,full_mean,-3.0834458186745906e-07,-3.0872498513190294e-07,-3.8040326444388484e-10,3.8040326444388484e-10
2017-07-01,ordinary,41,scalar,0.013709729700638773,0.013599198790707145,-0.00011053090993162762,0.00011053090993162762
2017-07-01,ordinary,41,waveform,0.0,0.0,0.0,0.0
2017-07-01,ordinary,41,full_mean,0.0,0.0,0.0,0.0
2017-10-01,ordinary,41,scalar,0.0007627878196778681,0.001744099889108952,0.000981312069431084,0.000981312069431084
2017-10-01,ordinary,41,waveform,1.736191827816924e-05,7.329196284544537e-05,5.593004456727613e-05,5.593004456727613e-05
2017-10-01,ordinary,41,full_mean,-2.5702987436204694e-06,-2.3862136337982065e-06,1.840851098222629e-07,1.840851098222629e-07
2017-01-01,heatwave_dr,41,scalar,-0.005546597217062299,-0.005546597217062299,0.0,0.0
2017-01-01,heatwave_dr,41,waveform,0.0,0.0,0.0,0.0
2017-01-01,heatwave_dr,41,full_mean,0.0,0.0,0.0,0.0
2017-04-01,heatwave_dr,41,scalar,0.036803238598910326,0.017933028932496597,-0.01887020966641373,0.01887020966641373
2017-04-01,heatwave_dr,41,waveform,0.00024040063462038574,0.00023603155046458824,-4.369084155797509e-06,4.369084155797509e-06
2017-04-01,heatwave_dr,41,full_mean,-0.012005230669586808,-0.00024827782440439705,0.011756952845182411,0.011756952845182411
2017-07-01,heatwave_dr,41,scalar,0.01185246605740109,0.013693868163843437,0.001841402106442347,0.001841402106442347
2017-07-01,heatwave_dr,41,waveform,-2.8506880964451753e-05,9.165618157824795e-05,0.0001201630625426997,0.0001201630625426997
2017-07-01,heatwave_dr,41,full_mean,-2.851524933866756e-05,3.1785292176067514e-09,2.8518427867885165e-05,2.8518427867885165e-05
2017-10-01,heatwave_dr,41,scalar,0.0007609393173133583,0.0018001772606872635,0.0010392379433739052,0.0010392379433739052
2017-10-01,heatwave_dr,41,waveform,1.8382626969071225e-05,1.7138730854071582e-05,-1.243896114999643e-06,1.243896114999643e-06
2017-10-01,heatwave_dr,41,full_mean,-2.7214334004099783e-06,-2.5372997463080083e-06,1.8413365410197002e-07,1.8413365410197002e-07
