date,regime,mode,seed,main_cost_USD,new_cost_USD,cost_delta_new_minus_main_USD,absolute_cost_delta_USD,main_max_rainflow_gap_USD,new_max_rainflow_gap_USD,main_max_iterations,new_max_iterations,main_numerical_gate,new_numerical_gate,max_abs_action_difference_kW,max_abs_executed_mean_difference_kW,changed_action_intervals_above_1e_9,max_abs_physical_Tj_difference_C,max_abs_SOC_difference,max_abs_estimated_Tj_difference_C,max_abs_estimated_Ts_difference_C,original_metrics_sha256,new_metrics_sha256
2017-01-01,heatwave_dr,full,41,254.02511500845404,254.02511500845404,0.0,0.0,6.8986616303945425e-06,8.881784197001252e-16,4,4,PASS,PASS,0.0,0.0,0,0.0,0.0,0.0,0.0,ea7d2262932a8a4fe1e4511f3568fe6c72548454afe5759478f20f56ce489a37,2d4f0ee4adce544c1bdc6dfc4f6ae282e687cf51765476f24338e5f1642f5b44
2017-01-01,heatwave_dr,full_mean,41,254.02511500845404,254.02511500845404,0.0,0.0,6.8986616303945425e-06,8.881784197001252e-16,4,4,PASS,PASS,0.0,0.0,0,0.0,0.0,0.0,0.0,8e5d36f7266729db8ac1e5a507e3dcc2d71400a6f018d320258839782a26e77e,2f1650c56627dc2430f18cf702fe0ae25051b7a8fcc990c600472c596a60e793
2017-01-01,heatwave_dr,scalar,41,254.0306616056711,254.0306616056711,0.0,0.0,7.442217309971966e-06,8.881784197001252e-16,4,4,PASS,PASS,0.0,0.0,0,0.0,0.0,0.0,0.0,3187e843c383c39dae4997d951a498c1d3f6212d7240fc37bf35ad080e75c6f8,2b640b74b6ddeed4706f0c4f90d3bac46c63163781f93a579a199a38d2c849ee
2017-01-01,heatwave_dr,waveform,41,254.02511500845404,254.02511500845404,0.0,0.0,6.8986616303945425e-06,8.881784197001252e-16,4,4,PASS,PASS,0.0,0.0,0,0.0,0.0,0.0,0.0,ebac92ed4890c3373723fa10fe029a0fd2b8093b6e9e60cff1faa1cd807a51c4,ab6fb79f1a83fcdec3cd5083641b550a791d0263dab790e4098a701e65a8e45a
2017-01-01,ordinary,full,41,254.0171013160459,254.0171013160459,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,4,4,PASS,PASS,0.0,0.0,0,0.0,0.0,0.0,0.0,a0a1360b6a39c3516bd974a6898e1b31275572356daa2e83cbdde296356715be,35ed7e0c4a97de97c3f97484fc1b3c0c1a32c32210015d961ea8cc40fd734e49
2017-01-01,ordinary,full_mean,41,254.0171013160459,254.0171013160459,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,4,4,PASS,PASS,0.0,0.0,0,0.0,0.0,0.0,0.0,aa0ca6e121dff3cddca0689433a75bd07e8af7d9eecbc8de7d7a256c37e58e3c,7534366362604ab96dbd2bf09f859aa87166201d4136b773323e21f1584a16f8
2017-01-01,ordinary,scalar,41,254.01931136428252,254.01931136428252,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,4,4,PASS,PASS,0.0,0.0,0,0.0,0.0,0.0,0.0,59e68cf9dc011785ba311ac6e29df280ae93580fc1cb9c0834bdeb07a8760b95,5529e5204e9076b8795217e83898d8b52eafd3caec22573dab2859bee9c46393
2017-01-01,ordinary,waveform,41,254.0171013160459,254.0171013160459,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,4,4,PASS,PASS,0.0,0.0,0,0.0,0.0,0.0,0.0,5b9f48875e1ce4b85c3567f6321fd2ceced0f3913ee0f9b4076879d77b7e5d3b,3ca729da78d82f3cd1433f10e9ddf5c27d243a8070e8e055d016cfe6a3d4f1a7
2017-04-01,heatwave_dr,full,41,18.668775796891563,18.677759696462914,0.008983899571351373,0.008983899571351373,9.400393385394779e-05,9.85802855374418e-07,22,36,PASS,PASS,0.5526221972088194,0.5526221972088337,4,0.23445323989314204,0.0006769621915808655,0.23445483802547784,0.14934232445557427,89bb3cbbb9d9b827661d29e342e2399febd8321400ed301d7e4008381230e991,3b75db5e7877904240e11e80e5f34e0328557e2ac553a0f6bfa534639311ed3c
2017-04-01,heatwave_dr,full_mean,41,18.68078102756115,18.67800797428732,-0.0027730532738310387,0.0027730532738310387,9.686790587074001e-05,9.843991271574204e-07,18,53,PASS,PASS,0.1703433520841955,0.17034335208418838,4,0.07184613738558454,0.00020867060630319623,0.07184704603238856,0.045764577522298566,7c5dfdacd0395ce710940aac7913919cda4e5d56cb44b7120221078a52a94483,15e04f07a2651b4d449b0b2ff3b3a7ba6ea8788611bffd4df9bfaca428f44997
2017-04-01,heatwave_dr,scalar,41,18.631972558292652,18.659826667530417,0.0278541092377651,0.0278541092377651,9.960527548696918e-05,7.431611123154269e-07,26,44,PASS,PASS,6.31336808835165,6.313368088351652,6,1.112689672266896,0.0077338759082307695,1.0749926904610518,0.7040224752114312,474edc526498cf83f7435b1408db1324319e32fbf42c190db2deb6f067a8e6b3,bd0b03346909304a59976d721b2e26d8105b62c11a8cde5c4cd7429999bcdfc6
2017-04-01,heatwave_dr,waveform,41,18.668535396256942,18.67752366491245,0.00898826865550717,0.00898826865550717,9.39879180088532e-05,7.081384278961877e-07,28,36,PASS,PASS,0.5529121731193953,0.5529121731194024,4,0.2346292255170752,0.0006773174120712766,0.23463251341193825,0.14945499677132545,38f576d741fafebf38b7e3d6f2f36b58d2612a048abd6659969c81fe7266379f,f3b1aa9edc81c71fec52926c24539637d75ff663e5587eac2e86113bf74d68cf
2017-04-01,ordinary,full,41,18.672878643857416,18.67576178185061,0.0028831379931943957,0.0028831379931943957,9.695915607535466e-05,5.950057123949026e-07,20,30,PASS,PASS,0.1769578766350648,0.1769578766350719,4,0.07460627117799845,0.00021677339887798963,0.07460677800547444,0.04752279815760119,08ec4128bff92d0cc042aa76030a9c03e15c56b1fd0447c4302264e4f8520f36,50c760ff8c6be2ea14282d7ad1cb4c9f3e88f3595405db3059c85e63396038e7
2017-04-01,ordinary,full_mean,41,18.672878952201998,18.675762090575596,0.00288313837359766,0.00288313837359766,9.695915607535466e-05,5.950057123949026e-07,20,39,PASS,PASS,0.1769578766350648,0.1769578766350719,4,0.07460627117799845,0.00021677339887798963,0.07460721452872576,0.047522728529102665,68eb1e7ea76a9f8cc3c7d963640f073fc7ba490ff9f1bdc5c13ad2559aba0367,e79b848a813f63d96179f031c6497dc661a0fb36fba0686d7ff44194d01bb564
2017-04-01,ordinary,scalar,41,18.641612213186207,18.651003228617128,0.009391015430921357,0.009391015430921357,9.189842205792331e-05,7.62924684746813e-07,28,39,PASS,PASS,0.5786464929301189,0.5786464929301189,4,0.24964029254655173,0.000708841953839412,0.2567725160369392,0.15991331014428312,20e39ad4d7360ed8a153a74d567737a89dd9e30d144e808c9a6c8e7860a50a96,fc26a5af990ab4de834fb2302a537182cc21588c4dfd96367118616b9dd0450a
2017-04-01,ordinary,waveform,41,18.67287656142182,18.675759696843183,0.0028831354213636473,0.0028831354213636473,9.695915607535466e-05,5.950057123949026e-07,20,30,PASS,PASS,0.1769578766350648,0.1769578766350719,4,0.07460627117799845,0.00021677339887798963,0.07460731298368017,0.04752297965159613,7d49db044c9aa1948a734133f99de250a885e76a4342121c2fb74bcce43727fe,0d5b0296ebe9dc231d4ad48eb765c6cbab93f2ffe391a6f06418d893ea995670
