interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,55.19344218829409,0.0,21.584680235156437,0.28072746861822123,0.4,26.784680235156436,26.784680235156436,25.584680235156437,25.005073190961248,26.784680235156436,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.009371499996632338,0.0,1
1,0.25,55.19344218829409,0.0,21.40574812998672,0.25797011859177016,0.4,26.784680235156436,26.5188311329925,25.584680235156437,25.47170498628117,26.784680235156436,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.007793400000082329,0.0,1
2,0.5,55.19344218829409,0.0,21.239693998737685,0.2500029963244531,0.4,26.690712289910078,26.619385767747858,25.490585478674134,25.034966502005624,26.690712289910078,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.00764070000150241,0.0,1
3,0.75,55.19344218829409,0.0,21.087228910692446,0.2573690480324955,0.4,26.558827663924635,26.341298307127023,25.358649853806362,25.09494063530297,26.558827663924635,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.00846139999339357,0.0,1
4,1.0,40.61070726264393,0.0,20.94900574476487,0.27956628946497,0.4,26.416110911319574,26.29647447732869,25.215918551555113,25.218128890181365,26.416110911319574,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.007528099988121539,0.0,1
5,1.25,40.61070726264393,0.0,20.825616393771874,0.31508201530093,0.4,26.275747135377888,26.268901525170744,25.075557970529985,24.899649127579018,26.275747135377888,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.008663199987495318,0.0,1
6,1.5,40.61070726264393,0.0,20.71758922985748,0.36149588751716655,0.4,26.144299154248607,26.06081314459159,24.944122017117433,24.852816837501173,26.144299154248607,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.007763800007523969,0.0,1
7,1.75,40.61070726264393,0.0,20.625386841922204,0.4156448774246928,0.4,26.025156527156646,25.960597453593294,24.824995980145648,24.288841059523556,26.025156527156646,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.00781989999813959,0.0,1
8,2.0,31.198214719724277,0.0,20.549404054746354,0.4738388208467491,0.4,25.920169668578254,25.674236677339085,24.720028202724826,24.642030737888998,25.920169668578254,0.0,0.0,100.0,0.9419464415917281,0.0,7.849553679931066,0.05,0,0,optimal,0.008604100003140047,0.0,1
9,2.25,31.198214719724277,0.0,20.489966238289703,0.5321118967091595,0.4,25.830423597155818,25.803885806081567,24.63030267336492,24.84597978132768,25.830423597155818,0.0,0.0,100.0,0.9419464415917281,0.0,7.849553679931066,0.05,0,0,optimal,0.014113099983660504,8.326672684688674e-17,2
10,2.5,31.198214719724277,0.0,20.447327914407385,0.5864928911927132,0.4,25.75660390788446,25.857683006524027,24.556504449415744,24.640540442252203,31.90228304480064,-24.999999999999996,-24.999999999999996,106.125,1.7032323535427698,0.0,14.193602946189745,0.14404926625867587,0,0,optimal,0.013417799986200407,2.7755575615628914e-16,2
11,2.75,31.198214719724277,0.0,20.421671666948214,0.6332758293921972,0.5866229925485698,31.90228304480064,31.94293147887966,28.45036355360434,28.500213442747523,33.84895302185252,-25.000000000000004,-25.000000000000004,112.25,1.7034249457735404,0.0,14.195207881446171,0.1456542015150981,0,0,optimal,0.014411200012546033,0.0,2
12,3.0,35.1311341390663,0.0,20.413107359902625,0.6692725313817787,0.6597167391883373,33.84895302185252,33.939459504243345,30.35582045833522,30.49969043413581,34.83631726943079,-25.000000000000007,-25.000000000000004,118.375,1.8215707734812485,0.0,15.179756445677073,0.1469729109104987,0,0,optimal,0.014461800019489601,0.0,2
13,3.25,35.1311341390663,0.0,20.421671666948214,0.6920298814082299,0.6495923618606958,34.83631726943079,34.87176594896486,31.31025392461623,31.705507374878096,35.3515638176264,-25.000000000000004,-25.000000000000004,124.5,1.82167532975106,0.0,15.180627747925506,0.14784421315892815,0,0,optimal,0.014517899981001392,0.0,2
