date,mode,regime,seed,overrides,operating_cost_USD,DR_cost_USD,battery_wear,converter_wear,wear_cost_USD,terminal_correction_USD,total_cost_USD,energy_adjusted_cost_USD,terminal_SOC,terminal_SOC_error,trip,thermal_exceedance_hours,DR_shortfall_kWh,Tj_RMSE_C,Tj_peak_C,FEC,solver_p95_seconds,max_rainflow_gap_USD,solver_status_counts,numerical_gate,terminal_service_met,elapsed_seconds,cooling,solver_fallback_intervals,cut_limit_intervals,latched_trip_intervals
2017-01-01,economic,heatwave_dr,41,{'cooling': 1.0},247.7636433960956,0.0,0.00013235435481994285,1.0814971908473565e-07,6.620962232569685,0.0,254.3846056286653,254.3846056286653,0.5,0.0,0,0.0,0.0,0.6023340139106305,59.43677499909283,1.2333624256210467,0.0068581250015995465,0.0,{'optimal': 96},PASS,True,0.6160596999980044,1.0,0,0,0
2017-01-01,full,heatwave_dr,41,{'cooling': 1.0},247.65864155139693,0.0014728148061884383,0.00012723289623068937,1.1186102388178253e-07,6.365000642250922,0.0,254.02511500845404,254.02511500845404,0.5,0.0,0,0.0,0.0007364074030942191,0.5170440678317267,58.714278739195464,1.2000000000000002,0.020553424990794156,6.8986616303945425e-06,{'optimal': 96},PASS,True,1.4070957999792881,1.0,0,0,0
2017-01-01,full_mean,heatwave_dr,41,{'cooling': 1.0},247.65864155139693,0.0014728148061884383,0.00012723289623068937,1.1186102388178253e-07,6.365000642250922,0.0,254.02511500845404,254.02511500845404,0.5,0.0,0,0.0,0.0007364074030942191,0.07712448695892381,58.714278739195464,1.2000000000000002,0.02096687499579275,6.8986616303945425e-06,{'optimal': 96},PASS,True,1.4207430999958888,1.0,0,0,0
2017-01-01,rainflow,heatwave_dr,41,{'cooling': 1.0},247.65168078625663,0.0,0.00012723296139602628,1.0377249068208331e-07,6.364761244521777,0.0,254.01644203077842,254.01644203077842,0.5,0.0,0,0.0,0.0,0.5846159135773893,59.43310885760991,1.200000436794151,0.014943050002329983,5.6791766147590295e-05,{'optimal': 96},PASS,True,1.0493621999921743,1.0,0,0,0
2017-01-01,scalar,heatwave_dr,41,{'cooling': 1.0},247.65967128435693,0.006053508465146962,0.00012723289623068937,1.0973337715123311e-07,6.364936812849005,0.0,254.0306616056711,254.0306616056711,0.5,0.0,0,0.0,0.003026754232573481,0.573270037873293,58.598763016753196,1.2,0.014511825014778879,7.442217309971966e-06,{'optimal': 96},PASS,True,1.2508941999985836,1.0,0,0,0
2017-01-01,waveform,heatwave_dr,41,{'cooling': 1.0},247.65864155139693,0.0014728148061884383,0.00012723289623068937,1.1186102388178253e-07,6.365000642250922,0.0,254.02511500845404,254.02511500845404,0.5,0.0,0,0.0,0.0007364074030942191,0.18598215701758367,58.714278739195464,1.2000000000000002,0.015660500015655998,6.8986616303945425e-06,{'optimal': 96},PASS,True,1.2981816999963485,1.0,0,0,0
2017-04-01,economic,heatwave_dr,41,{'cooling': 1.0},16.916990599966176,0.0,5.697731858514214e-05,2.0402971320170113e-06,2.910074843217618,0.0,19.827065443183795,19.827065443183795,0.5,0.0,0,0.0,0.0,0.3757582229637939,83.27661134217665,0.7034142013642575,0.010123400017619133,0.0,{'optimal': 96},PASS,True,0.8159295999794267,1.0,0,0,0
2017-04-01,full,heatwave_dr,41,{'cooling': 1.0},15.977144134355644,0.0,5.3316158682941884e-05,8.607909462941616e-07,2.691631662535919,0.0,18.668775796891563,18.668775796891563,0.5,0.0,0,0.0,0.0,0.5163028661388444,79.04711240877636,0.6791696820651976,0.07534144999226555,9.400393385394779e-05,{'optimal': 96},PASS,True,2.645114300015848,1.0,0,0,0
2017-04-01,full_mean,heatwave_dr,41,{'cooling': 1.0},15.992259491068516,0.0,5.3255325502975814e-05,8.585087114614256e-07,2.6885215364926336,0.0,18.68078102756115,18.68078102756115,0.5,0.0,0,0.0,0.0,0.05941728762777843,79.02578738224194,0.6791696820651978,0.06932577500265324,9.686790587074001e-05,{'optimal': 96},PASS,True,2.627247199998237,1.0,0,0,0
2017-04-01,rainflow,heatwave_dr,41,{'cooling': 1.0},15.47321819860256,0.0,5.3667119206519655e-05,6.653536462165173e-07,2.7033165697124786,0.0,18.176534768315037,18.176534768315037,0.5,0.0,0,0.0,0.0,0.271181345493269,77.00393694192387,0.7024052393963852,0.053229074997943826,7.376570861400422e-05,{'optimal': 96},PASS,True,2.076331600022968,1.0,0,0,0
2017-04-01,scalar,heatwave_dr,41,{'cooling': 1.0},15.932760778312854,0.0,5.346312307288687e-05,8.685208778484749e-07,2.6992117799797977,0.0,18.631972558292652,18.631972558292652,0.5,0.0,0,0.0,0.0,0.27381492972415283,79.11565989081069,0.6790141578392318,0.05906860001414316,9.960527548696918e-05,{'optimal': 96},PASS,True,2.5590000999800395,1.0,0,0,0
2017-04-01,waveform,heatwave_dr,41,{'cooling': 1.0},15.97684175745741,0.0,5.331737076644923e-05,8.608366825689461e-07,2.6916936387995296,0.0,18.668535396256942,18.668535396256942,0.5,0.0,0,0.0,0.0,0.18141874709390163,79.04753882522385,0.6791696820651977,0.06422235001082299,9.39879180088532e-05,{'optimal': 96},PASS,True,2.6940798000141513,1.0,0,0,0
2017-07-01,economic,heatwave_dr,41,{'cooling': 1.0},0.17680225431948626,0.0,3.1180583387428545e-05,7.428122160399914e-08,1.5612576060195473,0.0,1.7380598603390336,1.7380598603390336,0.5,0.0,0,0.0,0.0,0.27431670356436555,68.73612162412583,0.419575132022816,0.009596999996574596,0.0,{'optimal': 96},PASS,True,0.7295543999935035,1.0,0,0,0
2017-07-01,full,heatwave_dr,41,{'cooling': 1.0},-0.7527313297940563,0.0,2.928342900916438e-05,8.447748251839384e-08,1.4667057749337709,0.0,0.7139744451397145,0.7139744451397145,0.5,0.0,0,0.0,0.0,0.5160143264280228,69.64751141880518,0.39632594317690667,0.09047854998789262,9.12928988810735e-05,{'optimal': 96},PASS,True,2.5683458000130486,1.0,0,0,0
2017-07-01,full_mean,heatwave_dr,41,{'cooling': 1.0},-0.7527092496321441,0.0,2.9283557505219948e-05,8.447782534000275e-08,1.4667122100211973,0.0,0.7140029603890532,0.7140029603890532,0.5,0.0,0,0.0,0.0,0.0569924083224106,69.6475337902271,0.3963346629005668,0.0795219999999972,9.030797345929709e-05,{'optimal': 96},PASS,True,2.44332759999088,1.0,0,0,0
2017-07-01,rainflow,heatwave_dr,41,{'cooling': 1.0},0.1692011467437804,0.0,3.111239027737335e-05,8.943956892408079e-08,1.55830270093639,0.0,1.7275038476801703,1.7275038476801703,0.5,0.0,0,0.0,0.0,0.28869353621459043,69.62723005217082,0.4152831466705703,0.08369395000045188,8.442808477324149e-05,{'optimal': 96},PASS,True,1.9613791000156198,1.0,0,0,0
2017-07-01,scalar,heatwave_dr,41,{'cooling': 1.0},-0.7633657569118308,0.0,2.9259100957465016e-05,8.44229373631177e-08,1.4654877359941443,0.0,0.7021219790823134,0.7021219790823134,0.5,0.0,0,0.0,0.0,0.2723233433685922,69.64576852016738,0.3957225562189041,0.08743570000660839,6.387069549720903e-05,{'optimal': 96},PASS,True,2.6420661000011023,1.0,0,0,0
2017-07-01,waveform,heatwave_dr,41,{'cooling': 1.0},-0.7527092557541448,0.0,2.9283557457167298e-05,8.447783054862926e-08,1.4667122077748238,0.0,0.714002952020679,0.714002952020679,0.5,0.0,0,0.0,0.0,0.18165496377603532,69.6475341126866,0.39633465964039977,0.11066427500190912,9.030823171835012e-05,{'optimal': 96},PASS,True,2.8437393000058364,1.0,0,0,0
