date,mode,regime,seed,overrides,operating_cost_USD,DR_cost_USD,battery_wear,converter_wear,wear_cost_USD,terminal_correction_USD,total_cost_USD,energy_adjusted_cost_USD,terminal_SOC,terminal_SOC_error,trip,thermal_exceedance_hours,DR_shortfall_kWh,Tj_RMSE_C,Tj_peak_C,FEC,solver_p95_seconds,max_rainflow_gap_USD,solver_status_counts,numerical_gate,terminal_service_met,elapsed_seconds
2017-01-01,economic,heatwave_dr,41,{},247.7636433960956,0.0,0.00013235435481994285,1.0814971908473565e-07,6.620962232569685,0.0,254.3846056286653,254.3846056286653,0.5,0.0,0,0.0,0.0,0.6023340139106305,59.43677499909283,1.2333624256210467,0.00660385000082897,0.0,{'optimal': 96},PASS,True,0.6198569000116549
2017-01-01,economic,ordinary,73,{},247.76592854809516,0.0,0.00013235435481994285,8.774251610578871e-08,6.620350016480316,0.0,254.3862785645755,254.3862785645755,0.5,0.0,0,0.0,0.0,0.6337166572763381,49.45650817143052,1.2333624256210465,0.006782250013202429,0.0,{'optimal': 96},PASS,True,0.6225386000005528
2017-01-01,economic,heatwave_dr,73,{},247.7636433960956,0.0,0.00013235435481994285,1.0814971908473565e-07,6.620962232569685,0.0,254.3846056286653,254.3846056286653,0.5,0.0,0,0.0,0.0,0.6434403606653665,59.43677499909283,1.2333624256210467,0.007079799986968283,0.0,{'optimal': 96},PASS,True,0.6301579000137281
2017-01-01,economic,ordinary,41,{},247.76592854809516,0.0,0.00013235435481994285,8.774251610578871e-08,6.620350016480316,0.0,254.3862785645755,254.3862785645755,0.5,0.0,0,0.0,0.0,0.5947012394797716,49.45650817143052,1.2333624256210465,0.0071093500082497485,0.0,{'optimal': 96},PASS,True,0.6367120000068098
2017-01-01,rainflow,heatwave_dr,41,{},247.65168078625663,0.0,0.00012723296139602628,1.0377249068208331e-07,6.364761244521777,0.0,254.01644203077842,254.01644203077842,0.5,0.0,0,0.0,0.0,0.5846159135773893,59.43310885760991,1.200000436794151,0.01574372497998411,5.6791766147590295e-05,{'optimal': 96},PASS,True,1.0846624999830965
2017-01-01,rainflow,ordinary,73,{},247.6570243505234,0.0,0.00012723296139602628,8.226987876342098e-08,6.364116166164217,0.0,254.0211405166876,254.0211405166876,0.5,0.0,0,0.0,0.0,0.5949244793775267,49.45837464298287,1.200000436794151,0.01624967499083141,8.366763573430802e-05,{'optimal': 96},PASS,True,1.137919900007546
2017-01-01,rainflow,heatwave_dr,73,{},247.65168078625663,0.0,0.00012723296139602628,1.0377249068208331e-07,6.364761244521777,0.0,254.01644203077842,254.01644203077842,0.5,0.0,0,0.0,0.0,0.613384102664829,59.43310885760991,1.200000436794151,0.015688425017287955,5.6791766147590295e-05,{'optimal': 96},PASS,True,1.1289752000011504
2017-01-01,rainflow,ordinary,41,{},247.6570243505234,0.0,0.00012723296139602628,8.226987876342098e-08,6.364116166164217,0.0,254.0211405166876,254.0211405166876,0.5,0.0,0,0.0,0.0,0.570449208558122,49.45837464298287,1.200000436794151,0.016377675005060155,8.366763573430802e-05,{'optimal': 96},PASS,True,1.1476309999998193
2017-01-01,scalar,ordinary,41,{},247.65510856912906,0.0,0.00012723289623068937,8.526612063265974e-08,6.364202795153448,0.0,254.01931136428252,254.01931136428252,0.5,0.0,0,0.0,0.0,0.5763478729872485,48.589641608728186,1.2,0.021496924986422528,8.881784197001252e-16,{'optimal': 96},PASS,True,1.6712299000064377
2017-01-01,scalar,ordinary,73,{},247.65510856912906,0.0,0.00012723289623068937,8.526612063265974e-08,6.364202795153448,0.0,254.01931136428252,254.01931136428252,0.5,0.0,0,0.0,0.0,0.6215182555871538,48.589641608728186,1.2,0.020619549999537412,8.881784197001252e-16,{'optimal': 96},PASS,True,1.6212900999817066
2017-01-01,scalar,heatwave_dr,41,{},247.65967128435693,0.006053508465146962,0.00012723289623068937,1.0973337715123311e-07,6.364936812849005,0.0,254.0306616056711,254.0306616056711,0.5,0.0,0,0.0,0.003026754232573481,0.573270037873293,58.598763016753196,1.2,0.021613925004203338,7.442217309971966e-06,{'optimal': 96},PASS,True,1.8711655999941286
2017-01-01,scalar,heatwave_dr,73,{},247.65967128435693,0.006053508465146962,0.00012723289623068937,1.0973337715123311e-07,6.364936812849005,0.0,254.0306616056711,254.0306616056711,0.5,0.0,0,0.0,0.003026754232573481,0.6167940075359144,58.598763016753196,1.2,0.021621825006150175,7.442217309971966e-06,{'optimal': 96},PASS,True,1.8746807999850716
2017-01-01,waveform,ordinary,73,{},247.6532932727979,0.0,0.00012723289623068937,8.676991314022137e-08,6.364247908928675,0.0,254.01754118172659,254.01754118172659,0.5,0.0,0,0.0,0.0,0.20568943535052167,48.69518070863482,1.2000000000000002,0.021342449988878798,8.881784197001252e-16,{'optimal': 96},PASS,True,1.6332303000090178
