interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,60.58463510020112,0.0,21.348786143208557,0.48624531308590263,0.4,26.548786143208556,26.540813293930395,25.348786143208557,25.29360240686962,26.548786143208556,0.0,0.0,200.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.012369500007480383,0.0,1
1,0.25,60.58463510020112,0.0,21.169854038038835,0.5440236457899266,0.4,26.548786143208556,26.527667531596645,25.348786143208557,25.35289299134178,26.548786143208556,0.0,0.0,200.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.011411100014811382,0.0,1
2,0.5,60.58463510020112,0.0,21.003799906789805,0.5970981311003349,0.4,26.454818197962197,26.466693975453254,25.254691386726254,25.32192505761193,26.454818197962197,0.0,0.0,200.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.011252199998125434,0.0,1
3,0.75,60.58463510020112,0.0,20.851334818744565,0.6418518305529575,0.4,26.322933571976755,26.345431987472946,25.122755761858482,25.093659258260004,26.322933571976755,0.0,0.0,200.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.011095300025772303,0.0,1
4,1.0,35.263704456572206,0.0,20.71311165281699,0.6752348534890832,0.4,26.180216819371694,26.174504711696063,24.980024459607233,25.018594704306864,26.180216819371694,0.0,0.0,200.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.011398300004657358,0.0,1
5,1.25,35.263704456572206,0.0,20.58972230182399,0.6949722020636689,0.4,26.039853043430007,26.057215321733707,24.839663878582105,24.852298543053767,26.039853043430007,0.0,0.0,200.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.011427399993408471,0.0,1
6,1.5,35.263704456572206,0.0,20.481695137909597,0.6997188085888675,0.4,25.908405062300726,25.932419046170715,24.708227925169552,24.832065238380718,25.908405062300726,0.0,0.0,200.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.011379999981727451,0.0,1
7,1.75,35.263704456572206,0.0,20.389492749974323,0.6891511996741245,0.4,25.789262435208762,25.82515102798513,24.589101888197764,24.49914792779393,25.789262435208762,0.0,0.0,200.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.011435400025220588,0.0,1
8,2.0,54.0886895424115,0.0,20.31350996279847,0.6639895404031806,0.4,25.684275576630373,25.635353733282265,24.484134110776942,24.399199480635257,25.684275576630373,0.0,0.0,200.0,1.628660686272345,0.0,13.57217238560287,0.05,0,0,optimal,0.011380299984011799,0.0,1
9,2.25,54.0886895424115,0.0,20.254072146341823,0.6259485562737424,0.4,25.594529505207934,25.54017398747781,24.394408581417036,24.261868372773183,25.594529505207934,0.0,0.0,200.0,1.628660686272345,0.0,13.57217238560287,0.05,0,0,optimal,0.01981940001132898,4.163336342344337e-17,2
